filename: 105421_15.py, smelly_lines: 6, metric: 9
filename: 130823_28.py, smelly_lines: 5, metric: 8
filename: 21867_93.py, smelly_lines: 76, metric: 8
filename: 137023_98.py, smelly_lines: 14, metric: 7
filename: 24711_72.py, smelly_lines: 2, metric: 7
filename: 25011_75.py, smelly_lines: 2, metric: 7
filename: 25211_77.py, smelly_lines: 40, metric: 7
filename: 45214_105.py, smelly_lines: 3, metric: 7
filename: 103020_9.py, smelly_lines: 26, metric: 6
filename: 107821_46.py, smelly_lines: 1, metric: 6
filename: 117522_21.py, smelly_lines: 22, metric: 6
filename: 16802_1.py, smelly_lines: 4, metric: 6
filename: 17462_69.py, smelly_lines: 1, metric: 6
filename: 19284_76.py, smelly_lines: 2, metric: 6
filename: 23611_6.py, smelly_lines: 3, metric: 6
filename: 25311_78.py, smelly_lines: 49, metric: 6
filename: 33812_69.py, smelly_lines: 3, metric: 6
filename: 67016_33.py, smelly_lines: 6, metric: 6
